username,repo_name,stars,repo_url
electron,electron,107000,https://github.com/electron/electron
puppeteer,puppeteer,82600,https://github.com/puppeteer/puppeteer
microsoft,playwright,49500,https://github.com/microsoft/playwright
FiloSottile,mkcert,40400,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,35000,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,23500,https://github.com/jaywcjlove/linux-command
ovity,octotree,22400,https://github.com/ovity/octotree
segmentio,nightmare,19400,https://github.com/segmentio/nightmare
checkly,headless-recorder,14700,https://github.com/checkly/headless-recorder
google,WebFundamentals,13700,https://github.com/google/WebFundamentals
prisma-archive,chromeless,13200,https://github.com/prisma-archive/chromeless
GoogleChrome,chrome-extensions-samples,12000,https://github.com/GoogleChrome/chrome-extensions-samples
casesandberg,react-color,11300,https://github.com/casesandberg/react-color
gildas-lormeau,SingleFile,10700,https://github.com/gildas-lormeau/SingleFile
crimx,ext-saladict,10600,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,9600,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,8900,https://github.com/chromedp/chromedp
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
moonD4rk,HackBrowserData,7300,https://github.com/moonD4rk/HackBrowserData
Kenshin,simpread,7000,https://github.com/Kenshin/simpread
