username,repo_name,stars,repo_url
amphp,amp,3900,https://github.com/amphp/amp
danog,MadelineProto,2300,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,754,https://github.com/unreal4u/telegram-api
amphp,parallel,659,https://github.com/amphp/parallel
amphp,http-client,651,https://github.com/amphp/http-client
php-service-bus,service-bus,339,https://github.com/php-service-bus/service-bus
amphp,byte-stream,326,https://github.com/amphp/byte-stream
amphp,mysql,305,https://github.com/amphp/mysql
amphp,parallel-functions,241,https://github.com/amphp/parallel-functions
amphp,process,210,https://github.com/amphp/process
amphp,socket,188,https://github.com/amphp/socket
amphp,redis,136,https://github.com/amphp/redis
amphp,sync,133,https://github.com/amphp/sync
amphp,dns,130,https://github.com/amphp/dns
kelunik,acme,117,https://github.com/kelunik/acme
amphp,websocket-client,116,https://github.com/amphp/websocket-client
amphp,serialization,95,https://github.com/amphp/serialization
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,91,https://github.com/amphp/websocket-server
